PWSID,PWS_NAME,PWS_TYPE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ZIP_CODE,CITY_NAME,EPA_REGION,PRIMACY_AGENCY_CODE,POPULATION_SERVED_COUNT,ORG_NAME,STATE_CODE,COUNTIES_SERVED
NH0027140,COVERED BRIDGE CAMPGROUND 40,TNCWS,105 FLETCHER FARM RD,,03222,ALEXANDRIA,01,NH,50,PRO SPORT INC,NH,Carroll
NH0027160,NH WORLD FELLOWSHIP CMPGRND,TNCWS,PO BOX 2280,,03818,CONWAY,01,NH,45,NH WORLD FELLOWSHIP CTR INC,NH,Carroll
NH0028060,SUNNY BROOK COTTAGES,TNCWS,1901 NH RT 16,,03818,ALBANY,01,NH,30,SUNNY BROOK COTTAGES,NH,Carroll
NH0028080,DARBY FIELD INN THE,TNCWS,185 CHASE HILL RD,,03818,ALBANY,01,NH,32,MARIMARC CORP,NH,Carroll
NH0028100,KANCAMAGUS SWIFT RIVER INN,TNCWS,PO BOX 1650,,03818,CONWAY,01,NH,30,KANCAMAGUS SWIFT RIVER INN,NH,Carroll
NH0028110,DISCOUNT II PLUS DELI,TNCWS,PO BOX 379,,05033,BRADFORD,01,NH,100,CHAMPLAIN OIL CO INC,VT,Carroll
NH0032010,LEDGES AT NEWFOUND LAKE,CWS,29 VOSE HILL RD,,01886,WESTFORD,01,NH,160,LEDGES AT NEWFOUND,MA,Grafton
NH0037040,AMC CARDIGAN LODGE,TNCWS,PINKHAM NOTCH VISITOR CENTER,PO BOX 298,03581,GORHAM,01,NH,90,APPALACHIAN MOUNTAIN CLUB,NH,Grafton
NH0043020,OLDE TOWNE,CWS,7 HILLSIDE DR,,03275,ALLENSTOWN,01,NH,243,OLDE TOWNE HOMEOWNERS COOPERATIVE INC,NH,Merrimack
NH0043040,CATAMOUNT HILL,CWS,275 PINEWOOD RD,,03275,ALLENSTOWN,01,NH,383,CATAMOUNT HILL COOPERATIVE INC,NH,Merrimack
NH0043050,HOLIDAY ACRES,CWS,1A PARKWOOD DR,,03275,ALLENSTOWN,01,NH,309,HOLIDAY ACRES MHP,NH,Merrimack
NH0047010,BEAR BROOK ST PK/BEAVER POND,TNCWS,NH DIV OF PARKS AND RECREATION,172 PEMBROKE RD,03301,CONCORD,01,NH,350,STATE OF NH DNCR,NH,Rockingham
NH0047050,SPRUCE POND/AMERICORPS,TNCWS,NH DIV OF PARKS AND RECREATION,172 PEMBROKE RD,03301,CONCORD,01,NH,35,STATE OF NH DNCR,NH,Merrimack
NH0047070,TWIN OAKS CAMPGROUND,TNCWS,80 PINEWOOD RD,,03275,ALLENSTOWN,01,NH,125,TWIN OAKS CAMPGROUND,NH,Merrimack
NH0048010,SUNCOOK RIVER CONVENIENCE STOR,TNCWS,22 MANCHESTER RD UT 2,,03038,DERRY,01,NH,60,GRANITE STATE ANALYTICAL,NH,Merrimack
NH0048020,MEGA X,TNCWS,1560 HOOKSETT RD,,03106,HOOKSETT,01,NH,25,NEW SUNSET REALTY LLC,NH,Merrimack
NH0052010,PAPERMILL VILLAGE,CWS,PO BOX 10540,,03110,BEDFORD,01,NH,24,STEWART PROPERTY MANAGEMENT,NH,Cheshire
NH0053010,WELL HILL,CWS,27 BROOK ST,,03431,KEENE,01,NH,43,AQUATECH COMPLIANCE SERVICES LLC,NH,Cheshire
NH0055010,ALSTEAD VILAS SCH,NTNCWS,FACILITIES DEPT,PO BOX 440,03602,ALSTEAD,01,NH,190,FALL MOUNTAIN REGIONAL SCHOOL DIST,NH,Cheshire
NH0055020,ALSTEAD PRIMARY SCH,NTNCWS,FACILITIES DEPT,PO BOX 440,03602,ALSTEAD,01,NH,177,FALL MOUNTAIN REGIONAL SCHOOL DIST,NH,Cheshire
NH0055030,ORCHARD SCHOOL,NTNCWS,27 BROOK ST,,03431,KEENE,01,NH,45,AQUATECH COMPLIANCE SERVICES LLC,NH,Cheshire
NH0058030,ALSTEAD GENERAL STORE,TNCWS,10 MECHANIC ST,,03602,ALSTEAD,01,NH,40,ALSTEAD GENERAL STORE INC,NH,Cheshire
NH0059010,MOLE HILL THEATRE,TNCWS,4 BEN MOLESKY DR,,03602,ALSTEAD,01,NH,100,,NH,Cheshire
NH0059020,THIRD CONGREGATIONAL CHURCH,TNCWS,27 BROOK ST,,03431,KEENE,01,NH,100,AQUATECH COMPLIANCE SERVICES LLC,NH,Cheshire
NH0061010,ALTON WATER WORKS,CWS,PO BOX 1041,,03809,ALTON,01,NH,1750,ALTON WATER WORKS,NH,Belknap
NH0062010,EAGLES REST MHP,CWS,57 EAGLES WAY,,03809,ALTON,01,NH,138,EAGLE REST MHP,NH,Belknap
NH0062020,ALTON SHORES DEVELOPMENT/SOUTH,TNCWS,PO BOX 90,,03810,ALTON BAY,01,NH,38,ALTON SHORES ASSN,NH,Belknap
NH0062040,PEGGYS COVE ESTATES,TNCWS,PO BOX 2248,,03894,WOLFEBORO,01,NH,35,THURSTY WATER SYSTEMS,NH,Belknap
NH0062050,LAKESIDE AT WINNIPESAUKEE,CWS,14 COUNTRY CLUB RD,,03249,GILFORD,01,NH,85,EVERGREEN HARVARD GROUP,NH,Belknap
NH0063020,MERRYMEETING MHP,CWS,80 HERON POINT RD,,03809,ALTON,01,NH,265,MERRYMEETING RIVER MHP AND SALES INC,NH,Belknap
NH0065020,PROSPECT MOUNTAIN HIGH SCH,NTNCWS,PROSPECT MOUNTAIN HIGH SCH,242 SUNCOOK VALLEY RD,03809,ALTON,01,NH,584,SAU 301,NH,Belknap
